Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,24,OKC,73,1095,9.1,.573,.755,.145,2.3,8.8,5.5,3.4,1.6,0.7,7.7,12.7,,1.3,0.9,2.2,.095,,-0.6,-1.8,-2.3,-0.1
2,Quincy Acy\acyqu01,PF,27,BRK,66,1270,7.5,.510,.797,.173,3.1,17.2,10.1,5.9,1.1,1.6,14.1,14.3,,-0.4,1.0,0.6,.024,,-2.5,-0.3,-2.8,-0.2
3,Steven Adams\adamsst01,C,24,OKC,73,2390,20.7,.628,.003,.397,16.9,13.9,15.5,5.5,1.9,2.9,13.3,16.7,,6.4,2.9,9.3,.187,,2.2,1.2,3.4,3.3
4,Bam Adebayo\adebaba01,C,20,MIA,65,1304,15.6,.569,.022,.529,9.7,21.4,15.5,11.2,1.1,2.5,13.3,15.8,,2.2,1.8,4.0,.149,,-1.6,1.8,0.2,0.7
5,Arron Afflalo\afflaar01,SG,32,ORL,51,657,5.5,.508,.425,.170,0.7,10.5,5.5,6.2,0.3,1.1,11.3,12.4,,-0.1,0.2,0.1,.005,,-4.3,-1.7,-6.0,-0.7
6,Cole Aldrich\aldrico01,C,29,MIN,19,46,5.2,.340,.000,.400,7.5,25.4,16.4,5.9,2.2,1.9,5.4,17.9,,-0.1,0.1,0.0,-0.033,,-7.4,-0.6,-8.0,-0.1
7,LaMarcus Aldridge\aldrila01,C,32,SAS,71,2372,25.2,.572,.069,.304,10.9,17.1,14.0,11.4,0.8,3.1,6.9,29.2,,7.1,3.4,10.6,.214,,3.0,0.3,3.4,3.2
8,Jarrett Allen\allenja01,C,19,BRK,68,1341,17.6,.634,.037,.387,10.9,17.7,14.3,5.6,1.0,4.1,15.3,16.7,,2.5,1.3,3.9,.139,,-1.1,1.2,0.1,0.7
9,Kadeem Allen\allenka01,PG,25,BOS,13,62,-1.0,.298,.500,.400,1.8,7.0,4.4,10.6,1.6,1.4,29.8,12.1,,-0.2,0.1,-0.1,-0.076,,-8.5,1.0,-7.6,-0.1
10,Tony Allen\allento01,SF,36,NOP,22,273,8.7,.514,.132,.231,8.2,10.4,9.4,4.6,1.9,0.9,15.9,18.9,,-0.2,0.2,0.1,.014,,-3.9,-1.3,-5.2,-0.2
11,Al-Farouq Aminu\aminual01,PF,27,POR,65,1950,12.4,.529,.586,.144,5.1,22.3,13.8,5.8,1.9,1.5,10.7,14.9,,1.2,3.0,4.2,.103,,-0.5,1.7,1.2,1.6
12,Justin Anderson\anderju01,SF,24,PHI,35,481,11.9,.521,.489,.198,4.9,14.1,9.6,7.3,1.4,1.0,6.6,18.8,,0.4,0.6,1.0,.103,,-1.2,-1.4,-2.5,-0.1
13,Kyle Anderson\anderky01,SF,24,SAS,70,1873,15.8,.582,.126,.334,4.8,17.9,11.3,14.9,2.9,2.5,16.4,13.5,,2.2,3.7,5.9,.150,,-0.4,4.4,4.1,2.9
14,Ryan Anderson\anderry01,PF,29,HOU,66,1725,12.6,.592,.706,.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,,3.1,1.6,4.7,.131,,1.1,-0.8,0.2,1.0
15,Ike Anigbogu\anigbik01,C,19,IND,10,28,23.2,.558,.000,.667,20.4,16.1,18.2,0.0,1.8,9.5,14.7,21.8,,0.1,0.0,0.1,.177,,-4.1,-1.4,-5.4,0.0
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,73,2698,27.7,.603,.099,.465,6.8,25.1,16.0,23.7,1.9,3.3,11.6,31.3,,8.6,3.5,12.1,.214,,4.2,1.8,5.9,5.4
17,Carmelo Anthony\anthoca01,PF,33,OKC,75,2413,12.7,.502,.404,.162,2.9,17.8,10.1,6.4,0.9,1.8,7.4,23.3,,1.1,2.4,3.5,.069,,-2.0,-2.0,-3.9,-1.2
18,OG Anunoby\anunoog01,SF,20,TOR,69,1378,9.5,.574,.567,.185,3.1,9.8,6.5,5.2,1.8,0.6,10.9,12.3,,1.1,1.4,2.5,.088,,0.0,0.3,0.2,0.8
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,20,208,8.1,.561,.760,.240,0.5,6.9,3.6,14.7,2.6,0.0,20.2,7.3,,0.1,0.1,0.3,.061,,-2.9,-0.5,-3.5,-0.1
20,Trevor Ariza\arizatr01,SF,32,HOU,64,2179,12.1,.573,.713,.143,1.7,13.0,7.4,6.9,2.1,0.5,7.0,14.4,,2.7,2.6,5.3,.117,,1.0,0.6,1.7,2.0
21,Darrell Arthur\arthuda01,PF,29,DEN,19,141,8.4,.559,.489,.064,2.4,9.6,6.0,9.3,2.8,1.8,23.7,19.5,,-0.2,0.1,0.0,-0.012,,-3.5,-1.1,-4.5,-0.1
22,Jamel Artis\artisja01,SG,25,ORL,10,146,8.5,.462,.432,.189,1.5,15.2,8.3,12.5,0.3,0.5,2.4,12.4,,0.1,0.1,0.1,.043,,-3.1,-1.7,-4.8,-0.1
23,Omer Asik\asikom01,C,31,NOP,14,121,4.5,.423,.000,.750,6.5,26.1,16.6,2.0,0.4,1.3,19.0,9.4,,-0.1,0.1,0.0,.005,,-7.4,-0.8,-8.2,-0.2
24,D.J. Augustin\augusdj01,PG,30,ORL,70,1661,15.5,.614,.511,.360,1.9,8.3,5.1,24.3,1.6,0.0,16.1,18.4,,3.2,0.8,4.0,.116,,1.7,-2.3,-0.6,0.6
25,Luke Babbitt\babbilu01,SF,28,TOT,48,683,10.4,.596,.712,.107,1.0,14.1,7.6,6.4,0.6,0.9,8.1,15.0,,0.7,0.3,1.0,.070,,-0.7,-2.2,-2.9,-0.2
25,Luke Babbitt\babbilu01,SF,28,ATL,37,570,12.0,.636,.661,.131,1.0,14.9,8.0,7.0,0.6,0.8,7.8,14.8,,0.9,0.2,1.1,.094,,0.1,-2.1,-2.0,0.0
25,Luke Babbitt\babbilu01,SF,28,MIA,11,113,2.5,.405,.946,.000,1.0,10.0,5.5,3.7,0.4,1.5,9.8,16.3,,-0.2,0.1,-0.1,-0.052,,-4.7,-2.7,-7.4,-0.2
26,Dwayne Bacon\bacondw01,SG,22,CHO,53,713,5.8,.431,.224,.130,0.6,18.6,9.4,7.6,1.1,0.2,10.2,13.7,,-0.7,0.6,-0.1,-0.008,,-5.5,-0.4,-5.8,-0.7
27,Ron Baker\bakerro01,SG,24,NYK,29,385,9.3,.504,.559,.441,1.4,7.2,4.3,15.5,3.3,1.4,20.4,10.0,,0.1,0.4,0.5,.059,,-1.9,0.9,-1.0,0.1
28,Wade Baldwin IV\baldwwa01,PG,21,POR,4,29,17.0,.730,.143,1.286,0.0,18.6,9.4,10.7,0.0,0.0,15.4,19.6,,0.1,0.0,0.1,.177,,-0.6,-2.6,-3.1,0.0
29,Lonzo Ball\balllo01,PG,20,LAL,52,1780,12.5,.444,.523,.126,4.1,17.3,10.8,29.0,2.4,2.0,18.6,17.4,,-0.5,2.5,2.0,.053,,-0.9,2.5,1.6,1.6
30,J.J. Barea\bareajo01,PG,33,DAL,68,1594,17.8,.546,.455,.149,0.9,13.3,6.9,44.9,1.1,0.2,16.2,24.8,,2.3,1.1,3.3,.101,,2.3,-2.2,0.1,0.8
31,Harrison Barnes\barneha02,PF,25,DAL,75,2561,16.0,.542,.272,.262,3.2,17.3,10.0,10.0,1.0,0.5,8.2,25.2,,2.1,1.9,4.0,.075,,-0.6,-1.2,-1.8,0.1
32,Will Barton\bartowi01,SG,27,DEN,77,2530,15.9,.557,.409,.221,2.9,14.2,8.6,18.5,1.6,1.6,11.8,20.5,,3.9,1.7,5.6,.106,,1.4,-0.6,0.8,1.8
33,Nicolas Batum\batumni01,SG,29,CHO,61,1918,14.3,.518,.422,.204,3.0,13.8,8.3,26.0,1.6,1.0,15.0,18.2,,1.6,1.7,3.3,.082,,0.8,0.4,1.2,1.6
34,Jerryd Bayless\bayleje01,SG,29,PHI,39,925,7.6,.546,.557,.168,1.8,7.3,4.7,8.1,1.2,0.5,14.1,15.1,,0.2,0.9,1.1,.055,,-1.8,-0.9,-2.7,-0.2
35,Aron Baynes\baynear01,C,31,BOS,76,1388,11.8,.509,.037,.188,9.2,22.3,15.8,9.5,0.6,2.8,14.6,16.5,,0.5,2.4,2.9,.099,,-3.9,2.1,-1.8,0.1
36,Kent Bazemore\bazemke01,SG,28,ATL,65,1789,14.5,.547,.405,.297,1.6,13.9,7.8,20.1,2.7,2.2,17.0,22.5,,0.2,2.0,2.2,.059,,-0.6,1.1,0.5,1.1
37,Bradley Beal\bealbr01,SG,24,WAS,78,2819,18.7,.566,.357,.245,2.3,11.4,6.9,21.2,1.7,1.1,11.6,27.8,,4.3,2.4,6.7,.113,,2.8,-1.0,1.9,2.7
38,Malik Beasley\beaslma01,SG,21,DEN,61,581,8.8,.504,.458,.186,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.1,,0.0,0.3,0.3,.023,,-2.8,-2.5,-5.3,-0.5
39,Michael Beasley\beaslmi01,PF,29,NYK,70,1582,17.7,.557,.101,.195,6.3,21.5,13.9,12.4,1.0,2.2,14.1,26.8,,0.9,1.4,2.2,.068,,-1.1,-0.6,-1.7,0.1
40,Marco Belinelli\belinma01,SG,31,TOT,75,1807,13.9,.579,.506,.214,1.1,7.0,4.1,11.9,1.6,0.4,9.8,20.3,,2.2,1.1,3.3,.089,,0.6,-2.2,-1.6,0.2
40,Marco Belinelli\belinma01,SG,31,ATL,52,1210,14.1,.555,.510,.225,1.2,8.0,4.6,13.5,1.9,0.2,9.2,21.2,,1.3,0.6,1.9,.076,,0.6,-2.3,-1.7,0.1
40,Marco Belinelli\belinma01,SG,31,PHI,23,597,13.3,.634,.498,.190,0.9,5.1,3.1,8.7,1.1,0.8,11.3,18.4,,0.9,0.5,1.4,.116,,0.7,-2.0,-1.3,0.1
41,Jordan Bell\belljo01,C,23,GSW,53,774,18.7,.646,.017,.235,9.2,19.2,14.6,17.2,2.1,5.7,18.9,13.8,,1.7,1.4,3.0,.189,,0.4,4.0,4.4,1.3
42,DeAndre' Bembry\bembrde01,SF,23,ATL,23,395,6.2,.467,.239,.248,2.3,15.9,9.1,14.1,1.9,2.2,25.8,18.0,,-0.9,0.4,-0.5,-0.059,,-6.6,1.1,-5.5,-0.3
43,Dragan Bender\bendedr01,PF,20,PHO,79,1957,6.6,.512,.666,.105,1.9,16.2,8.9,9.0,0.5,2.1,18.3,12.6,,-0.9,0.7,-0.2,-0.006,,-3.0,0.0,-3.0,-0.5
44,Davis Bertans\bertada01,PF,25,SAS,73,1063,14.0,.585,.690,.137,1.9,13.9,7.9,10.2,1.2,2.2,8.4,17.4,,1.5,1.5,3.0,.136,,1.2,-0.1,1.1,0.8
45,Patrick Beverley\beverpa01,SG,29,LAC,11,334,12.3,.530,.504,.143,5.4,9.4,7.4,13.8,2.6,1.2,16.5,19.6,,0.1,0.3,0.4,.057,,0.4,0.3,0.7,0.2
46,Khem Birch\birchkh01,C,25,ORL,37,455,13.8,.534,.000,.357,13.7,19.8,16.7,7.9,1.2,2.8,14.4,12.8,,0.6,0.5,1.0,.109,,-2.3,1.2,-1.1,0.1
47,Jabari Bird\birdja01,SG,23,BOS,8,35,4.0,.377,.500,1.500,6.4,6.2,6.3,3.7,1.4,0.0,13.1,9.8,,0.0,0.0,0.0,.021,,-4.8,-0.1,-4.9,0.0
48,Bismack Biyombo\biyombi01,C,25,ORL,77,1405,13.5,.550,.003,.445,10.4,23.9,17.1,6.0,0.6,5.1,17.1,14.5,,0.9,1.6,2.5,.087,,-4.0,2.0,-2.0,0.0
49,Nemanja Bjelica\bjeline01,PF,29,MIN,63,1286,12.9,.598,.490,.130,4.2,19.1,11.6,8.6,1.7,1.0,12.0,14.3,,1.7,1.0,2.7,.101,,0.8,-0.2,0.6,0.8
50,Tarik Black\blackta01,C,26,HOU,48,474,14.9,.589,.078,.478,14.4,19.9,17.1,3.8,2.1,4.7,18.7,15.9,,0.6,0.9,1.4,.144,,-2.6,2.0,-0.5,0.2
51,Antonio Blakeney\blakean01,SG,21,CHI,19,314,10.1,.471,.364,.273,1.3,10.2,5.6,10.1,1.1,0.3,6.4,23.7,,-0.2,0.1,0.0,-0.004,,-3.2,-3.5,-6.8,-0.4
52,Eric Bledsoe\bledser01,PG,28,TOT,70,2209,19.3,.577,.364,.318,2.6,11.5,7.1,24.9,3.2,1.5,16.1,26.3,,2.6,2.3,4.9,.107,,2.2,-0.4,1.8,2.1
52,Eric Bledsoe\bledser01,PG,28,PHO,3,83,13.0,.509,.325,.350,3.8,5.3,4.5,17.9,2.3,1.9,17.8,28.7,,-0.1,0.0,0.0,-0.029,,-2.5,-2.5,-5.0,-0.1
52,Eric Bledsoe\bledser01,PG,28,MIL,67,2126,19.6,.580,.366,.316,2.5,11.8,7.2,25.2,3.2,1.5,16.0,26.3,,2.7,2.3,5.0,.112,,2.3,-0.3,2.1,2.2
53,Vander Blue\blueva01,SG,25,LAL,5,45,-1.8,.255,.400,.400,0.0,2.4,1.2,8.1,1.1,0.0,33.8,8.4,,-0.1,0.0,-0.1,-0.103,,-8.7,-1.4,-10.1,-0.1
54,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,75,2089,13.8,.564,.426,.161,1.5,10.7,5.9,18.3,1.7,0.7,13.1,19.6,,2.0,0.9,2.9,.067,,0.7,-1.6,-0.9,0.6
55,Bojan Bogdanovic\bogdabo02,SF,28,IND,77,2386,13.8,.603,.454,.244,1.4,10.9,6.2,7.1,1.1,0.3,10.2,18.9,,3.6,1.6,5.1,.104,,1.1,-1.9,-0.8,0.7
56,Andrew Bogut\bogutan01,C,33,LAL,23,216,10.8,.696,.000,.080,12.9,25.5,19.2,9.1,0.9,4.9,42.3,8.8,,0.1,0.3,0.4,.093,,-3.7,3.5,-0.1,0.1
57,Joel Bolomboy\bolomjo01,PF,24,MIL,6,38,11.7,.521,.167,1.000,18.7,12.4,15.5,0.0,2.6,0.0,18.8,12.7,,0.0,0.0,0.1,.079,,-3.1,-4.6,-7.7,-0.1
58,Devin Booker\bookede01,SG,21,PHO,54,1865,18.1,.561,.364,.312,1.5,12.7,7.0,24.5,1.2,0.6,13.9,31.6,,1.9,0.5,2.4,.063,,2.9,-2.4,0.5,1.2
59,Trevor Booker\booketr01,PF,30,TOT,64,1085,14.7,.563,.089,.275,10.8,18.7,14.8,11.0,1.2,1.5,14.1,16.5,,1.5,1.2,2.7,.120,,-1.1,0.6,-0.5,0.4
59,Trevor Booker\booketr01,PF,30,BRK,18,395,15.5,.536,.080,.287,10.1,22.0,16.0,16.3,1.0,0.9,15.1,21.8,,0.3,0.3,0.6,.071,,-1.6,0.2,-1.4,0.1
59,Trevor Booker\booketr01,PF,30,PHI,33,494,14.6,.618,.064,.358,10.7,15.8,13.3,7.6,1.6,1.8,13.7,12.6,,1.0,0.7,1.7,.163,,-0.7,1.3,0.7,0.3
59,Trevor Booker\booketr01,PF,30,IND,13,196,13.8,.524,.158,.088,12.8,19.5,16.2,8.6,0.8,1.8,11.9,15.3,,0.3,0.2,0.4,.109,,-1.2,-0.3,-1.5,0.0
60,Chris Boucher\bouchch01,PF,25,GSW,1,1,-28.5,.000,1.000,.000,0.0,100.0,55.9,0.0,0.0,0.0,0.0,43.9,,0.0,0.0,0.0,-0.893,,-39.0,-20.0,-59.0,0.0
61,Avery Bradley\bradlav01,SG,27,TOT,46,1433,9.7,.496,.325,.131,1.7,7.3,4.5,10.4,1.8,0.5,13.3,23.5,,-1.4,1.3,-0.1,-0.004,,-2.8,-1.3,-4.2,-0.8
61,Avery Bradley\bradlav01,SG,27,DET,40,1268,9.8,.497,.340,.140,1.6,6.7,4.1,10.5,1.8,0.5,13.3,24.4,,-1.3,1.2,-0.2,-0.006,,-2.7,-1.4,-4.2,-0.7
61,Avery Bradley\bradlav01,SG,27,LAC,6,165,9.0,.492,.164,.036,2.0,12.4,7.3,9.8,1.5,0.5,12.5,16.7,,-0.1,0.1,0.0,.012,,-3.5,-0.6,-4.1,-0.1
62,Tony Bradley\bradlto01,C,20,UTA,9,29,9.5,.337,.091,.182,15.9,27.2,21.6,5.0,0.0,0.0,0.0,18.5,,0.0,0.0,0.0,.030,,-6.6,-3.1,-9.7,-0.1
63,Corey Brewer\breweco01,SF,31,TOT,69,1121,11.1,.535,.331,.297,3.7,10.3,7.0,7.7,3.2,1.1,12.8,14.3,,0.6,1.5,2.1,.089,,-1.9,1.0,-0.9,0.3
63,Corey Brewer\breweco01,SF,31,LAL,54,694,8.9,.509,.250,.297,3.5,10.7,7.1,8.1,2.8,0.9,16.3,14.2,,-0.2,0.9,0.7,.047,,-3.6,0.8,-2.8,-0.1
63,Corey Brewer\breweco01,SF,31,OKC,15,427,14.7,.573,.449,.297,4.0,9.7,6.7,7.0,3.7,1.3,7.0,14.4,,0.8,0.6,1.4,.157,,1.0,1.2,2.1,0.4
64,Malcolm Brogdon\brogdma01,PG,25,MIL,46,1404,14.3,.579,.319,.174,1.9,10.8,6.4,16.3,1.5,0.8,11.0,19.1,,2.0,0.7,2.7,.093,,0.6,-1.8,-1.2,0.3
65,Aaron Brooks\brookaa01,PG,33,MIN,31,188,10.1,.508,.449,.159,4.3,6.2,5.2,15.2,1.6,0.0,11.9,19.7,,0.1,0.1,0.2,.039,,-0.5,-3.7,-4.1,-0.1
66,Dillon Brooks\brookdi01,SF,22,MEM,77,2204,9.0,.525,.342,.189,2.4,10.2,6.2,8.3,1.5,0.7,12.9,17.9,,-0.3,1.2,0.8,.018,,-2.2,-1.3,-3.4,-0.8
67,MarShon Brooks\brookma01,SG,29,MEM,2,40,46.4,.777,.280,.360,5.7,0.0,2.9,26.0,3.8,2.3,6.5,34.9,,0.3,0.0,0.4,.432,,15.9,-3.3,12.6,0.1
68,Anthony Brown\brownan02,SF,25,MIN,1,4,41.9,1.500,1.000,.000,0.0,0.0,0.0,41.7,0.0,0.0,0.0,11.1,,0.0,0.0,0.0,.570,,17.2,-15.1,2.1,0.0
69,Bobby Brown\brownbo02,PG,33,HOU,20,115,5.4,.425,.690,.034,0.0,6.8,3.4,14.9,1.7,0.0,13.3,26.0,,-0.3,0.1,-0.2,-0.080,,-5.0,-4.3,-9.3,-0.2
70,Jaylen Brown\brownja02,SF,21,BOS,66,2034,13.4,.556,.378,.289,3.6,14.4,9.1,8.5,1.6,1.0,11.9,21.0,,1.1,3.1,4.2,.100,,-0.7,0.6,-0.1,1.0
71,Lorenzo Brown\brownlo01,PG,27,TOR,13,114,6.6,.406,.320,.080,0.0,9.7,4.9,13.6,1.7,0.0,7.2,10.7,,0.0,0.1,0.1,.038,,-3.8,-0.5,-4.3,-0.1
72,Markel Brown\brownma02,SG,26,HOU,4,31,-1.3,.357,.714,.000,3.7,14.5,9.1,8.7,0.0,0.0,22.2,12.8,,-0.1,0.0,0.0,-0.064,,-6.6,-1.8,-8.4,-0.1
73,Sterling Brown\brownst02,SG,22,MIL,51,728,9.5,.513,.440,.126,4.2,17.6,10.9,4.6,2.1,1.3,10.6,14.0,,0.1,0.7,0.8,.050,,-2.8,-1.0,-3.8,-0.3
74,Nicolas Brussino\brussni01,SF,24,ATL,4,10,-4.6,.000,1.000,.000,0.0,33.6,16.8,0.0,0.0,0.0,0.0,8.7,,0.0,0.0,0.0,-0.179,,-13.8,-4.8,-18.6,0.0
75,Thomas Bryant\bryanth01,C,20,LAL,11,34,7.7,.473,.556,.667,3.1,15.6,9.4,7.8,0.0,0.0,7.9,15.7,,0.0,0.0,0.0,.037,,-3.8,-3.3,-7.1,0.0
76,Reggie Bullock\bullore01,SF,26,DET,61,1701,13.6,.613,.511,.090,1.6,8.3,4.9,8.4,1.4,0.7,7.6,15.7,,2.7,1.5,4.2,.118,,1.2,-0.6,0.7,1.1
77,Trey Burke\burketr01,PG,25,NYK,32,648,22.8,.576,.262,.133,2.1,8.0,5.1,38.1,1.5,0.5,8.8,25.9,,2.0,0.3,2.3,.167,,5.3,-3.3,2.0,0.7
78,Alec Burks\burksal01,SG,26,UTA,62,1030,13.1,.526,.335,.310,2.0,18.4,10.3,9.8,1.8,0.7,11.3,22.4,,0.2,1.5,1.7,.081,,-2.7,-0.3,-3.0,-0.3
79,Jimmy Butler\butleji01,SG,28,MIN,56,2077,23.5,.589,.220,.446,4.1,12.9,8.5,20.7,2.6,1.0,8.9,24.7,,6.8,1.6,8.4,.194,,4.8,0.0,4.9,3.6
80,Dwight Buycks\buyckdw01,PG,28,DET,29,427,12.8,.498,.227,.207,3.0,7.7,5.3,22.4,2.2,0.4,15.3,26.4,,-0.2,0.5,0.3,.029,,-2.5,-1.7,-4.2,-0.2
81,Bruno Caboclo\cabocbr01,SF,22,TOT,11,99,8.5,.398,.567,.200,7.7,15.6,11.5,6.9,1.5,3.8,10.9,16.6,,-0.1,0.1,0.0,-0.012,,-4.1,-0.2,-4.3,-0.1
81,Bruno Caboclo\cabocbr01,SF,22,TOR,2,7,-0.1,.000,1.000,.000,0.0,15.8,8.0,16.7,7.0,0.0,0.0,12.5,,0.0,0.0,0.0,-0.115,,-6.8,4.2,-2.5,0.0
81,Bruno Caboclo\cabocbr01,SF,22,SAC,9,92,9.2,.424,.536,.214,8.3,15.6,11.8,6.1,1.1,4.1,11.5,16.9,,-0.1,0.1,0.0,-0.004,,-3.9,-0.6,-4.4,-0.1
82,Jose Calderon\caldejo01,PG,36,CLE,55,888,11.5,.652,.517,.167,1.7,8.3,5.0,17.8,1.5,0.2,17.5,11.7,,1.5,0.3,1.8,.099,,0.2,-2.0,-1.8,0.1
83,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,69,2339,13.3,.565,.526,.246,2.7,14.3,8.5,9.1,2.1,0.5,9.9,16.9,,2.6,2.5,5.1,.105,,0.7,0.4,1.1,1.8
84,Isaiah Canaan\canaais01,PG-SG,26,TOT,20,422,13.5,.539,.482,.372,1.5,10.1,5.7,26.7,1.8,0.2,15.4,18.9,,0.5,0.1,0.6,.072,,0.1,-2.5,-2.4,0.0
84,Isaiah Canaan\canaais01,SG,26,HOU,1,4,-7.3,.000,.000,.000,0.0,28.0,14.1,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,-0.224,,-17.2,-3.9,-21.2,0.0
84,Isaiah Canaan\canaais01,PG,26,PHO,19,418,13.7,.543,.485,.375,1.5,9.9,5.6,27.0,1.8,0.2,15.5,19.0,,0.5,0.1,0.6,.075,,0.3,-2.5,-2.2,0.0
85,Clint Capela\capelca01,C,23,HOU,71,1955,24.6,.650,.002,.383,13.5,31.0,22.3,5.8,1.4,5.8,11.6,19.5,,6.0,3.9,9.9,.242,,0.1,2.9,3.0,2.5
86,DeMarre Carroll\carrode01,SF,31,BRK,73,2180,14.3,.550,.498,.313,5.0,18.4,11.7,10.6,1.3,1.0,10.3,19.8,,2.3,1.8,4.1,.090,,0.5,-0.2,0.2,1.2
87,Vince Carter\cartevi01,SF,41,SAC,55,971,10.6,.519,.584,.126,1.9,14.9,8.1,9.3,2.1,2.5,10.7,14.7,,0.2,0.8,1.0,.051,,-1.6,0.4,-1.3,0.2
88,Michael Carter-Williams\cartemi01,PG,26,CHO,52,835,10.8,.446,.258,.389,4.7,13.4,8.9,19.5,2.6,2.3,16.2,16.6,,-0.2,1.1,0.8,.048,,-2.7,2.0,-0.7,0.3
89,Alex Caruso\carusal01,PG,23,LAL,32,457,7.9,.502,.356,.253,2.3,8.4,5.4,17.6,1.9,1.8,25.4,12.0,,-0.2,0.4,0.3,.031,,-4.0,0.4,-3.6,-0.2
90,Omri Casspi\casspom01,SF,29,GSW,53,740,15.5,.632,.106,.333,4.9,23.9,15.1,9.5,1.2,2.0,13.5,16.3,,1.2,1.0,2.2,.143,,-1.4,0.2,-1.3,0.1
